timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,dist_crop,filter_horizon,eph,epv,evh,evv,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid,track_mode
3763622031,14977977,-22.353443799995777,-48.61605419999082,-18.026142,-49.42244,-6.326538,0.0014408983,0.0025268272,0.0,-0.24320725,-0.9122809,-0.08044042,-0.13271658,-0.0085652955,-0.0013813828,0.08076739,3.3427923,-2.6908588,1.3290988,-1.9808699,496.6547,5.151402,0.08044042,2.753202,47,0.25833553,0.1412159,0.14276326,0.048859254,1,1,1,1,1,0,1,1,1,1,1,1
3763726179,14977977,-22.353443799995777,-48.61605419999082,-18.038528,-49.521275,-6.3358097,0.0014408983,0.0025268272,0.0,-0.10657328,-0.8277091,-0.110051684,-0.15589331,-0.0085652955,-0.0013813828,0.08076739,0.16532761,0.63587815,-0.89961183,-1.947893,496.6547,5.11551,0.110051684,2.71731,49,0.2696967,0.14137319,0.14765234,0.048912745,1,1,1,1,1,0,1,1,1,1,1,1
3763826853,14977977,-22.353443799995777,-48.61605419999082,-18.038422,-49.608185,-6.3450804,0.0014408983,0.0025268272,0.0,0.011160515,-0.7620825,-0.13614398,-0.17445287,-0.0085652955,-0.0013813828,0.08076739,1.6510963,-1.3157239,0.79384947,-1.9137319,496.6547,5.0145035,0.13614398,2.6990037,51,0.25820988,0.14105695,0.14304715,0.04889797,1,1,1,1,1,0,1,1,1,1,1,1
3763926927,14977977,-22.353443799995777,-48.61605419999082,-18.026857,-49.690365,-6.3566175,0.0014408983,0.0025268272,0.0,0.11118758,-0.70472604,-0.1619956,-0.1930921,-0.0085652955,-0.0013813828,0.08076739,2.0406802,0.3969848,0.7710119,-1.8785722,496.6547,5.0050077,0.1619956,2.689508,53,0.26957774,0.1412166,0.1479486,0.04893841,1,1,1,1,1,0,1,1,1,1,1,1
3764031240,14977977,-22.353443799995777,-48.61605419999082,-18.006653,-49.76908,-6.371165,0.0014408983,0.0025268272,0.0,0.19184496,-0.64157414,-0.19339038,-0.21761452,-0.0085652955,-0.0013813828,0.08076739,0.49616218,1.8498659,-1.0040146,-1.8409727,496.6547,5.03213,0.19339038,2.71663,55,0.25904545,0.14104629,0.14371713,0.04893663,1,1,1,1,1,0,1,1,1,1,1,1
3764135099,14977977,-22.353443799995777,-48.61605419999082,-17.979322,-49.84431,-6.3872104,0.0014408983,0.0025268272,0.0,0.25204173,-0.5913186,-0.20848086,-0.22571632,-0.0085652955,-0.0013813828,0.08076739,1.6052947,-0.049366474,1.4731888,-1.8019253,496.6547,5.0622807,0.20848086,2.7467809,56,0.2704763,0.14120515,0.14854209,0.04895831,1,1,1,1,1,0,1,1,1,1,1,1
3764234808,14977977,-22.353443799995777,-48.61605419999082,-17.947206,-49.91081,-6.4028764,0.0014408983,0.0025268272,0.0,0.29710275,-0.5440136,-0.22485319,-0.23507524,-0.0085652955,-0.0013813828,0.08076739,1.0429012,-0.14112616,0.47141156,-1.7632511,496.6547,4.997599,0.22485319,2.6978993,58,0.25909856,0.14124006,0.14388007,0.04894263,1,1,1,1,1,0,1,1,1,1,1,1
3764339651,14977977,-22.353443799995777,-48.61605419999082,-17.908085,-49.975826,-6.420504,0.0014408983,0.0025268272,0.0,0.34285372,-0.49691582,-0.24054937,-0.2435175,-0.0085652955,-0.0013813828,0.08076739,2.7917318,-0.30158195,2.0118241,-1.7224776,496.6547,4.9702654,0.24054937,2.6705656,60,0.27055275,0.14139548,0.14858212,0.04894923,1,1,1,1,1,0,1,1,1,1,1,1
3764439595,14977977,-22.353443799995777,-48.61605419999082,-17.866457,-50.03367,-6.440228,0.0014408983,0.0025268272,0.0,0.3716851,-0.44918925,-0.26512134,-0.26268882,-0.0085652955,-0.0013813828,0.08076739,2.4080212,-1.0124737,1.7883813,-1.6827314,496.6547,4.9294243,0.26512134,2.6742244,62,0.26001924,0.14154735,0.14419071,0.048938904,1,1,1,1,1,0,1,1,1,1,1,1
3764539655,14977977,-22.353443799995777,-48.61605419999082,-17.822065,-50.086468,-6.468295,0.0014408983,0.0025268272,0.0,0.39294055,-0.40316996,-0.28954867,-0.2884096,-0.0085652955,-0.0013813828,0.08076739,0.39735198,-2.7877214,0.9546443,-1.6419952,496.6547,4.898361,0.28954867,2.6431613,64,0.27071574,0.14159589,0.14857906,0.048947066,1,1,1,1,1,0,1,1,1,1,1,1
