timestamp,windspeed_north,windspeed_east,variance_north,variance_east
3759847688,0.0,0.0,0.0,0.0
3760048384,0.0,0.0,0.0,0.0
3760248530,0.0,0.0,0.0,0.0
3760448410,0.0,0.0,0.0,0.0
3760653165,0.0,0.0,0.0,0.0
3760857204,0.0,0.0,0.0,0.0
3761057971,0.0,0.0,0.0,0.0
3761262116,0.0,0.0,0.0,0.0
3761462318,0.0,0.0,0.0,0.0
3761663149,0.0,0.0,0.0,0.0
3761862852,0.0,0.0,0.0,0.0
3762063728,0.0,0.0,0.0,0.0
3762267655,0.0,0.0,0.0,0.0
3762468451,0.0,0.0,0.0,0.0
3762668513,0.0,0.0,0.0,0.0
3762873202,0.0,0.0,0.0,0.0
3763073244,0.0,0.0,0.0,0.0
3763277233,0.0,0.0,0.0,0.0
3763478009,0.0,0.0,0.0,0.0
3763682154,0.0,0.0,0.0,0.0
3763878785,0.0,0.0,0.0,0.0
3764082904,0.0,0.0,0.0,0.0
3764286818,0.0,0.0,0.0,0.0
3764487681,0.0,0.0,0.0,0.0
3764687662,0.0,0.0,0.0,0.0
3764892527,0.0,0.0,0.0,0.0
3765092570,0.0,0.0,0.0,0.0
3765297260,0.0,0.0,0.0,0.0
3765501315,0.0,0.0,0.0,0.0
3765702041,0.0,0.0,0.0,0.0
3765906028,0.0,0.0,0.0,0.0
3766110109,0.0,0.0,0.0,0.0
3766310951,0.0,0.0,0.0,0.0
3766518989,0.0,0.0,0.0,0.0
3766720161,0.0,0.0,0.0,0.0
3766919618,0.0,0.0,0.0,0.0
3767120573,0.0,0.0,0.0,0.0
3767320543,0.0,0.0,0.0,0.0
3767524486,0.0,0.0,0.0,0.0
3767725236,0.0,0.0,0.0,0.0
3767933546,0.0,0.0,0.0,0.0
3768134114,0.0,0.0,0.0,0.0
3768338384,0.0,0.0,0.0,0.0
3768543150,0.0,0.0,0.0,0.0
3768742951,0.0,0.0,0.0,0.0
3768946897,0.0,0.0,0.0,0.0
3769147590,0.0,0.0,0.0,0.0
3769347684,0.0,0.0,0.0,0.0
3769548424,0.0,0.0,0.0,0.0
3769752562,0.0,0.0,0.0,0.0
3769953253,0.0,0.0,0.0,0.0
3770157345,0.0,0.0,0.0,0.0
3770357325,0.0,0.0,0.0,0.0
3770562013,0.0,0.0,0.0,0.0
3770762121,0.0,0.0,0.0,0.0
3770962861,0.0,0.0,0.0,0.0
3771166818,0.0,0.0,0.0,0.0
3771367776,0.0,0.0,0.0,0.0
3771567675,0.0,0.0,0.0,0.0
3771768478,0.0,0.0,0.0,0.0
3771972848,0.0,0.0,0.0,0.0
3772172582,0.0,0.0,0.0,0.0
3772373237,0.0,0.0,0.0,0.0
3772581734,0.0,0.0,0.0,0.0
3772782119,0.0,0.0,0.0,0.0
3772982017,0.0,0.0,0.0,0.0
3773190420,0.0,0.0,0.0,0.0
3773390857,0.0,0.0,0.0,0.0
3773590951,0.0,0.0,0.0,0.0
3773791672,0.0,0.0,0.0,0.0
3773991997,0.0,0.0,0.0,0.0
3774192532,0.0,0.0,0.0,0.0
3774392458,0.0,0.0,0.0,0.0
3774592500,0.0,0.0,0.0,0.0
3774793280,0.0,0.0,0.0,0.0
3774993191,0.0,0.0,0.0,0.0
3775194091,0.0,0.0,0.0,0.0
3775398062,0.0,0.0,0.0,0.0
3775598855,0.0,0.0,0.0,0.0
3775803279,0.0,0.0,0.0,0.0
3776006940,0.0,0.0,0.0,0.0
3776207769,0.0,0.0,0.0,0.0
3776408096,0.0,0.0,0.0,0.0
3776612524,0.0,0.0,0.0,0.0
3776816444,0.0,0.0,0.0,0.0
3777017347,0.0,0.0,0.0,0.0
3777221193,0.0,0.0,0.0,0.0
3777422107,0.0,0.0,0.0,0.0
3777625959,0.0,0.0,0.0,0.0
3777826008,0.0,0.0,0.0,0.0
3778026815,0.0,0.0,0.0,0.0
3778230853,0.0,0.0,0.0,0.0
3778431616,0.0,0.0,0.0,0.0
3778635646,0.0,0.0,0.0,0.0
3778836448,0.0,0.0,0.0,0.0
3779036567,0.0,0.0,0.0,0.0
3779240514,0.0,0.0,0.0,0.0
3779441311,0.0,0.0,0.0,0.0
3779645326,0.0,0.0,0.0,0.0
3779846147,0.0,0.0,0.0,0.0
3780050030,0.0,0.0,0.0,0.0
3780250878,0.0,0.0,0.0,0.0
3780450893,0.0,0.0,0.0,0.0
3780654783,0.0,0.0,0.0,0.0
3780855609,0.0,0.0,0.0,0.0
3781055659,0.0,0.0,0.0,0.0
3781260534,0.0,0.0,0.0,0.0
3781464578,0.0,0.0,0.0,0.0
3781665273,0.0,0.0,0.0,0.0
3781869257,0.0,0.0,0.0,0.0
3782073152,0.0,0.0,0.0,0.0
3782274028,0.0,0.0,0.0,0.0
3782478064,0.0,0.0,0.0,0.0
3782678853,0.0,0.0,0.0,0.0
3782882879,0.0,0.0,0.0,0.0
3783083627,0.0,0.0,0.0,0.0
3783288041,0.0,0.0,0.0,0.0
3783491651,0.0,0.0,0.0,0.0
3783692492,0.0,0.0,0.0,0.0
3783896430,0.0,0.0,0.0,0.0
3784097353,0.0,0.0,0.0,0.0
3784297159,0.0,0.0,0.0,0.0
3784502510,0.0,0.0,0.0,0.0
3784706019,0.0,0.0,0.0,0.0
3784906090,0.0,0.0,0.0,0.0
3785110881,0.0,0.0,0.0,0.0
3785314804,0.0,0.0,0.0,0.0
3785515727,0.0,0.0,0.0,0.0
3785719983,0.0,0.0,0.0,0.0
3785920452,0.0,0.0,0.0,0.0
3786120569,0.0,0.0,0.0,0.0
3786324501,0.0,0.0,0.0,0.0
3786529223,0.0,0.0,0.0,0.0
3786729220,0.0,0.0,0.0,0.0
3786930091,0.0,0.0,0.0,0.0
3787134168,0.0,0.0,0.0,0.0
3787334776,0.0,0.0,0.0,0.0
3787534940,0.0,0.0,0.0,0.0
3787739769,0.0,0.0,0.0,0.0
3787947638,0.0,0.0,0.0,0.0
3788148499,0.0,0.0,0.0,0.0
3788352682,0.0,0.0,0.0,0.0
3788556569,0.0,0.0,0.0,0.0
3788757244,0.0,0.0,0.0,0.0
3788961195,0.0,0.0,0.0,0.0
3789161245,0.0,0.0,0.0,0.0
3789362046,0.0,0.0,0.0,0.0
3789566043,0.0,0.0,0.0,0.0
3789766821,0.0,0.0,0.0,0.0
3789966829,0.0,0.0,0.0,0.0
3790171659,0.0,0.0,0.0,0.0
3790375646,0.0,0.0,0.0,0.0
3790576419,0.0,0.0,0.0,0.0
3790776495,0.0,0.0,0.0,0.0
3790980367,0.0,0.0,0.0,0.0
3791181273,0.0,0.0,0.0,0.0
3791381474,0.0,0.0,0.0,0.0
3791586027,0.0,0.0,0.0,0.0
3791785970,0.0,0.0,0.0,0.0
3791986812,0.0,0.0,0.0,0.0
3792190950,0.0,0.0,0.0,0.0
3792394796,0.0,0.0,0.0,0.0
3792595653,0.0,0.0,0.0,0.0
3792803629,0.0,0.0,0.0,0.0
3793004496,0.0,0.0,0.0,0.0
3793204364,0.0,0.0,0.0,0.0
3793412541,0.0,0.0,0.0,0.0
3793613222,0.0,0.0,0.0,0.0
3793813257,0.0,0.0,0.0,0.0
3794014007,0.0,0.0,0.0,0.0
3794214386,0.0,0.0,0.0,0.0
3794414926,0.0,0.0,0.0,0.0
3794614866,0.0,0.0,0.0,0.0
3794815757,0.0,0.0,0.0,0.0
3795015629,0.0,0.0,0.0,0.0
3795220448,0.0,0.0,0.0,0.0
3795420503,0.0,0.0,0.0,0.0
3795624503,0.0,0.0,0.0,0.0
3795825187,0.0,0.0,0.0,0.0
3796025529,0.0,0.0,0.0,0.0
3796229273,0.0,0.0,0.0,0.0
3796430016,0.0,0.0,0.0,0.0
3796634046,0.0,0.0,0.0,0.0
3796834891,0.0,0.0,0.0,0.0
3797038828,0.0,0.0,0.0,0.0
3797239776,0.0,0.0,0.0,0.0
3797439761,0.0,0.0,0.0,0.0
3797644474,0.0,0.0,0.0,0.0
3797848418,0.0,0.0,0.0,0.0
3798052741,0.0,0.0,0.0,0.0
3798253243,0.0,0.0,0.0,0.0
3798453233,0.0,0.0,0.0,0.0
3798654051,0.0,0.0,0.0,0.0
3798854046,0.0,0.0,0.0,0.0
3799054005,0.0,0.0,0.0,0.0
3799254846,0.0,0.0,0.0,0.0
3799454807,0.0,0.0,0.0,0.0
3799659903,0.0,0.0,0.0,0.0
3799859668,0.0,0.0,0.0,0.0
3800060483,0.0,0.0,0.0,0.0
3800260487,0.0,0.0,0.0,0.0
3800464398,0.0,0.0,0.0,0.0
3800665228,0.0,0.0,0.0,0.0
3800869279,0.0,0.0,0.0,0.0
3801070326,0.0,0.0,0.0,0.0
3801274132,0.0,0.0,0.0,0.0
3801474829,0.0,0.0,0.0,0.0
3801678891,0.0,0.0,0.0,0.0
3801879723,0.0,0.0,0.0,0.0
3802083701,0.0,0.0,0.0,0.0
3802283708,0.0,0.0,0.0,0.0
3802484352,0.0,0.0,0.0,0.0
3802688493,0.0,0.0,0.0,0.0
3802889312,0.0,0.0,0.0,0.0
3803093194,0.0,0.0,0.0,0.0
3803294001,0.0,0.0,0.0,0.0
3803498034,0.0,0.0,0.0,0.0
3803698009,0.0,0.0,0.0,0.0
3803902833,0.0,0.0,0.0,0.0
3804102904,0.0,0.0,0.0,0.0
3804303672,0.0,0.0,0.0,0.0
3804508018,0.0,0.0,0.0,0.0
3804708446,0.0,0.0,0.0,0.0
3804908569,0.0,0.0,0.0,0.0
3805108400,0.0,0.0,0.0,0.0
3805313280,0.0,0.0,0.0,0.0
3805517738,0.0,0.0,0.0,0.0
3805718036,0.0,0.0,0.0,0.0
3805922366,0.0,0.0,0.0,0.0
3806122891,0.0,0.0,0.0,0.0
3806322996,0.0,0.0,0.0,0.0
3806527741,0.0,0.0,0.0,0.0
3806731806,0.0,0.0,0.0,0.0
3806931620,0.0,0.0,0.0,0.0
3807136437,0.0,0.0,0.0,0.0
3807336477,0.0,0.0,0.0,0.0
3807537376,0.0,0.0,0.0,0.0
3807741236,0.0,0.0,0.0,0.0
3807945231,0.0,0.0,0.0,0.0
3808146025,0.0,0.0,0.0,0.0
3808350128,0.0,0.0,0.0,0.0
3808551128,0.0,0.0,0.0,0.0
3808750945,0.0,0.0,0.0,0.0
3808952051,0.0,0.0,0.0,0.0
3809155611,0.0,0.0,0.0,0.0
3809356406,0.0,0.0,0.0,0.0
3809556413,0.0,0.0,0.0,0.0
3809760509,0.0,0.0,0.0,0.0
3809961237,0.0,0.0,0.0,0.0
3810165321,0.0,0.0,0.0,0.0
3810366131,0.0,0.0,0.0,0.0
