timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,discharged_mah,remaining,scale,cell_count,connected,system_source,priority,warning
3392770729,45.13638,44.920853,42.737213,43.029858,4492.9316,0.6924273,1.0273062,12,1,1,0,0
3393275561,45.13638,44.894314,45.842686,44.790764,4499.383,0.6822904,1.0282315,12,1,1,0,0
3393780249,44.31968,44.888332,50.988895,46.304253,4506.0264,0.6705005,1.0293099,12,1,1,0,0
3394285264,45.326942,44.847904,42.02739,45.319035,4512.3228,0.6449369,1.0316558,12,1,1,0,0
3394779166,45.408615,44.935184,39.128952,42.66429,4517.907,0.64573014,1.0315828,12,1,1,0,0
3395283575,45.354168,44.972042,38.68531,41.287163,4523.569,0.64081764,1.0320349,12,1,1,0,0
3395788348,44.619137,44.994587,38.83319,38.909286,4528.802,0.63371974,1.0326886,12,1,1,0,0
3396293192,44.8097,45.00406,37.11779,38.125122,4534.068,0.6373052,1.0323583,12,1,1,0,0
3396797912,45.354168,44.979828,40.252834,38.5968,4539.4927,0.6411058,1.0320083,12,1,1,0,0
3397290833,45.05471,44.96699,39.543015,39.18484,4544.8984,0.6491188,1.0312713,12,1,1,0,0
3397795627,44.945816,44.954277,41.938663,40.121967,4550.633,0.65525347,1.0307077,12,1,1,0,0
3398300302,44.59191,44.951572,41.731632,39.678993,4556.152,0.6527132,1.030941,12,1,1,0,0
3398805200,44.156338,44.963135,39.42471,41.13285,4562.0586,0.657832,1.0304711,12,1,1,0,0
3399310919,45.218052,44.95185,40.34156,40.88266,4567.7764,0.6558383,1.0306541,12,1,1,0,0
3399803717,44.238007,44.96655,40.607746,39.77016,4573.11,0.6538026,1.030841,12,1,1,0,0
3400308176,44.700806,44.989365,37.443123,40.16483,4578.7803,0.6544399,1.0307825,12,1,1,0,0
3400813258,45.408615,44.980644,41.11054,41.384182,4584.711,0.6511724,1.0310826,12,1,1,0,0
3401306045,44.728027,44.954395,45.5765,41.848965,4590.47,0.6415505,1.0319674,12,1,1,0,0
3401810882,44.56469,44.879997,48.238335,45.946445,4597.2886,0.63653237,1.0324295,12,1,1,0,0
3402315612,44.782475,44.869175,48.29749,46.450974,4603.8687,0.6444493,1.0317007,12,1,1,0,0
3402820412,44.755253,44.84475,46.04972,45.864983,4610.2554,0.6461764,1.0315418,12,1,1,0,0
3403325212,45.354168,44.93791,34.189774,38.062218,4614.886,0.63389647,1.0326723,12,1,1,0,0
3403830061,45.354168,44.996014,37.38397,37.083923,4619.948,0.6318576,1.0328603,12,1,1,0,0
3404322927,44.619137,45.003727,36.96991,37.006897,4625.005,0.62839925,1.0331792,12,1,1,0,0
3404828393,45.29972,45.02186,35.22493,36.58369,4630.0938,0.63080126,1.0329576,12,1,1,0,0
3405333102,45.13638,45.03201,37.38397,37.2945,4635.368,0.64054555,1.0320599,12,1,1,0,0
3405837999,44.918594,44.996597,63.262905,40.139206,4641.2188,0.64903647,1.0312788,12,1,1,0,0
3406330800,45.05471,44.877724,43.56534,44.577854,4647.9355,0.6222593,1.0337459,12,1,1,0,0
3406835734,44.428574,44.84806,43.1217,45.03506,4654.31,0.61582375,1.0343405,12,1,1,0,0
3407340485,45.13638,44.833088,44.98498,45.115547,4660.654,0.6135735,1.0345486,12,1,1,0,0
3407833177,44.673584,44.83767,49.155193,46.263103,4667.0386,0.61869365,1.0340753,12,1,1,0,0
3408337995,44.83692,44.77321,46.996147,47.74235,4673.875,0.61513144,1.0344046,12,1,1,0,0
3408842830,44.673584,44.732746,51.04805,49.310204,4680.9214,0.61821383,1.0341196,12,1,1,0,0
3409335505,45.000263,44.71956,45.783535,48.278664,4687.507,0.62089694,1.0338718,12,1,1,0,0
3409841170,44.973038,44.798225,45.90184,43.55164,4693.292,0.62767065,1.0332464,12,1,1,0,0
3410346026,45.29972,44.808266,37.73888,40.732807,4698.7935,0.615339,1.0343853,12,1,1,0,0
3410850785,44.455795,44.745445,53.088787,45.549812,4705.4956,0.6046254,1.035377,12,1,1,0,0
3411343667,44.483017,44.731472,47.173603,47.17856,4712.19,0.61563796,1.0343577,12,1,1,0,0
3411848329,44.83692,44.775154,47.173603,46.325115,4718.6167,0.6253911,1.0334567,12,1,1,0,0
3412353388,44.864147,44.740936,49.480526,48.06665,4725.5234,0.62548316,1.0334482,12,1,1,0,0
3412857759,44.918594,44.656357,44.452618,47.910133,4732.265,0.61185783,1.0347073,12,1,1,0,0
3413362749,44.973038,44.69448,45.90184,45.174065,4738.3564,0.61359155,1.034547,12,1,1,0,0
3413855561,44.483017,44.7528,40.992233,41.30696,4743.5913,0.6179454,1.0341444,12,1,1,0,0
3414360170,44.8097,44.803192,46.907417,40.02336,4748.953,0.6273938,1.0332719,12,1,1,0,0
3414865992,45.13638,44.79143,43.180855,43.04875,4755.3857,0.64323866,1.0318121,12,1,1,0,0
3415358695,44.047443,44.823715,33.302494,39.132275,4760.462,0.64416665,1.0317267,12,1,1,0,0
3415863636,45.027485,44.83377,37.17694,38.440987,4765.7764,0.6307941,1.0329583,12,1,1,0,0
3416368448,44.700806,44.856472,41.702057,39.248398,4771.3247,0.623948,1.03359,12,1,1,0,0
3416873317,44.89137,44.8494,45.132862,40.691727,4777.144,0.61126846,1.0347619,12,1,1,0,0
3417366103,45.081932,44.824146,42.825943,41.237404,4782.8447,0.59821373,1.0359713,12,1,1,0,0
3417870933,44.728027,44.729977,49.89459,48.284576,4790.2646,0.59449714,1.0363162,12,1,1,0,0
3418375490,44.40135,44.69108,46.286327,49.029873,4797.2153,0.5936701,1.0363928,12,1,1,0,0
3418868406,45.027485,44.761227,28.866106,44.467552,4803.0103,0.596106,1.0361668,12,1,1,0,0
3419373293,45.408615,44.83845,34.13062,37.6674,4807.572,0.5843637,1.0372574,12,1,1,0,0
