timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,magnetometer_timestamp_relative,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],baro_timestamp_relative,baro_alt_meter,baro_temp_celcius
1444874260,0.011006599,-0.010806808,-0.015290848,3989,0,-0.0020672348,-1.1432269,-9.910143,3989,-18505,0.20274216,0.1000915,-0.15900195,-21217,440.83392,55.489998
1444979048,0.02337814,0.0045899376,-0.0065228497,3995,0,-0.20709963,-0.12279398,-10.140619,3995,-5884,0.20018075,0.10119706,-0.15768144,-58,442.13684,55.489998
1445079045,0.03111155,0.003605148,-0.0018280793,4000,0,-2.37776,-2.6523776,-11.381964,4000,-9545,0.20658427,0.10119706,-0.15768144,-9777,442.31113,55.489998
1445183071,0.008683721,0.0077607315,-0.015651045,4011,0,2.7200525,1.2814014,-7.9773407,4011,-17727,0.20146145,0.10119706,-0.15768144,-14514,442.74527,55.489998
1445283845,0.008018007,-0.018760238,-0.00587781,4000,0,-2.0615299,0.8435807,-9.515387,4000,-21257,0.20146145,0.10119706,-0.16296345,-21491,443.1794,55.489998
1445387859,-0.0026206826,0.04595967,-0.010157014,4014,0,1.3992482,-2.1350188,-10.397783,4014,-2523,0.20146145,0.1023026,-0.15768144,-8752,441.96384,55.489998
1445487849,-0.0034221213,0.022534132,-0.024771264,4004,0,3.7173245,0.11561711,-9.547873,4004,-1516,0.20274216,0.09788039,-0.16032244,-1717,442.57227,55.489998
1445592657,-0.001275806,-0.010882256,-0.014652683,4012,0,-2.338076,-0.5198669,-10.256519,4012,-7305,0.19761935,0.10119706,-0.15768144,-1880,442.22366,55.5
1445692645,0.005708649,0.024607869,-0.0066340673,3994,0,0.66920894,-0.63393694,-9.598472,3994,-10636,0.20274216,0.1000915,-0.15768144,-5835,442.31113,55.5
1445792645,-0.0078048855,0.005360197,-0.0054492974,3994,0,1.6465247,-0.33486784,-9.86619,3994,-14303,0.20274216,0.10119706,-0.15768144,-14599,443.35306,55.489998
1445892645,0.004225418,-0.017752772,-0.0216392,3994,0,-0.2656502,-0.8968375,-9.851169,3994,-21142,0.20402285,0.10340816,-0.15900195,-621,443.00574,55.489998
1445997479,-0.005210385,-0.021197254,-0.007201185,4034,0,0.7028894,-0.28944147,-9.075315,4034,-4439,0.19890004,0.1023026,-0.15768144,-11789,442.39795,55.5
1446097451,-0.020189516,-0.017815776,-0.005604828,3995,0,-1.7824428,0.28261423,-9.542859,3995,-8239,0.19633864,0.1023026,-0.15900195,-8411,442.8321,55.489998
1446201445,0.0075908215,-0.01420648,-0.00054385955,3992,0,1.0725199,-2.2004101,-10.491528,3992,-18373,0.20018075,0.10340816,-0.15900195,-13476,442.13684,55.5
