timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
1502684057,1502684057,167686007,0,0,1,205,206,63,45,94,51,68
1503650101,1503650101,167686007,0,0,1,205,206,63,45,94,51,68
1504743090,1504743090,167686007,0,0,1,205,206,63,45,94,51,68
1505624194,1505624194,167686007,0,0,1,205,206,63,45,94,51,68
1506591093,1506591093,167686007,0,0,1,205,206,63,45,94,51,68
1507717317,1507717317,167686007,0,0,1,205,206,63,45,94,51,68
1508645145,1508645145,167686007,0,0,1,205,206,63,45,94,51,68
1509650154,1509650154,167686007,0,0,1,205,206,63,45,94,51,68
1510696142,1510696142,167686007,0,0,1,205,206,63,45,94,51,68
1511623226,1511623226,167686007,0,0,1,205,206,63,45,94,51,68
1512635747,1512635747,167686007,0,0,1,205,206,63,45,94,51,68
1513739068,1513739068,167686007,0,0,1,205,206,63,45,94,51,68
1514625563,1514625563,167686007,0,0,1,205,206,63,45,94,51,68
1515639686,1515639686,167686007,0,0,1,205,206,63,45,94,51,68
1516684717,1516684717,167686007,0,0,1,205,206,63,45,94,51,68
1517639236,1517639236,167686007,0,0,1,205,206,63,45,94,51,68
1518630017,1518630017,167686007,0,0,1,205,206,63,45,94,51,68
1519696033,1519696033,167686007,0,0,1,205,206,63,45,94,51,68
1520641689,1520641689,167686007,0,0,1,205,206,63,45,94,51,68
1521623998,1521623998,167686007,0,0,1,205,206,63,45,94,51,68
1522693173,1522693173,167686007,0,0,1,205,206,63,45,94,51,68
1523615610,1523615610,167686007,0,0,1,205,206,63,45,94,51,68
1524622060,1524622060,167686007,0,0,1,205,206,63,45,94,51,68
1525673103,1525673103,167686007,0,0,1,205,206,63,45,94,51,68
1526627181,1526627181,167686007,0,0,1,205,206,63,45,94,51,68
1527617138,1527617138,167686007,0,0,1,205,206,63,45,94,51,68
1528690304,1528690304,167686007,0,0,1,205,206,63,45,94,51,68
1529690017,1529690017,167686007,0,0,1,205,206,63,45,94,51,68
1530613505,1530613505,167686007,0,0,1,205,206,63,45,94,51,68
1531713170,1531713170,167686007,0,0,1,205,206,63,45,94,51,68
1532594864,1532594864,167686007,0,0,1,205,206,63,45,94,51,68
1533606055,1533606055,167686007,0,0,1,205,206,63,45,94,51,68
1534694112,1534694112,167686007,0,0,1,205,206,63,45,94,51,68
1535617862,1535617862,167686007,0,0,1,205,206,63,45,94,51,68
1536602549,1536602549,167686007,0,0,1,205,206,63,45,94,51,68
1537702012,1537702012,167686007,0,0,1,205,206,63,45,94,51,68
