timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
2815894978,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2816140283,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2816388001,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2816629325,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2816873605,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2817113691,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2817362568,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2817602768,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2817846570,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2818086969,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2818336702,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2818579694,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2818829188,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2819068823,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2819314293,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2819562318,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2819802505,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2820043251,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2820283964,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2820532352,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2820772883,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2821016273,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2821265549,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2821510573,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2821754734,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2821998382,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2822239369,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2822487758,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2822729161,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2822974948,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2823208340,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2823448930,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2823693784,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2823934502,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2824178285,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2824423301,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2824666799,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
2824912387,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0
