timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,pos_d_deriv,yaw,eph,epv,evh,evv,terrain_alt,pressure_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
2804745247,-22.353367251457207,-48.61622768303676,501.98883,-0.0,-0.24380365,-0.050354928,-0.4286392,-0.44710368,-1.3592353,0.7215606,0.9118743,0.14749785,0.045529705,493.0468,446.3084,1,0,1,0
2804945233,-22.35336780931337,-48.616227830485215,502.06158,-0.0,-0.3313146,-0.08103729,-0.29872903,-0.31256294,-1.4170678,0.7215332,0.911901,0.14705402,0.045559738,493.038,445.96033,1,0,1,0
2805146112,-22.35336854540832,-48.616228062860095,502.09937,-0.0,-0.4138617,-0.16013186,-0.1878722,-0.18905394,-1.4818386,0.7218062,0.9118882,0.14688876,0.045551386,493.03024,446.56833,1,0,1,0
2805346368,-22.353369414251727,-48.61622843060888,502.11914,-0.0,-0.45546558,-0.2441459,-0.08245184,-0.07804166,-1.5512346,0.7216413,0.91189945,0.1464868,0.0455141,493.04974,446.65518,1,0,1,0
2805546846,-22.353370310737304,-48.616228997569834,502.12686,-0.0,-0.47088206,-0.34379914,-0.0033662743,0.00041602625,-1.6264693,0.7215775,0.9118686,0.14625363,0.045505535,493.0648,446.39526,1,0,1,0
2805750852,-22.35337117123523,-48.616229788094934,502.1162,-0.0,-0.43381548,-0.4552981,0.05193484,0.05967636,-1.706474,0.72150224,0.91194683,0.14611326,0.045565873,493.0919,446.91644,1,0,1,0
2805950921,-22.353371944127296,-48.61623073886506,502.1051,-0.0,-0.39901736,-0.5580495,0.086423986,0.08921407,-1.7877563,0.72145087,0.91196626,0.14620104,0.04557344,493.0934,445.78662,1,0,1,0
2806152014,-22.353372667476435,-48.616231878813394,502.0919,-0.0,-0.39155146,-0.6600685,0.093064114,0.09013377,-1.8725504,0.7214115,0.91198474,0.14636764,0.04558015,493.09064,445.61227,1,0,1,0
2806352586,-22.353373443494213,-48.61623323895047,502.0751,-0.0,-0.4468619,-0.7712609,0.083490394,0.079918705,-1.9591582,0.7214102,0.91195095,0.1467277,0.04557685,493.12344,446.74203,1,0,1,0
2806556534,-22.35337443140509,-48.61623492063525,502.0601,-0.0,-0.57264525,-0.9485671,0.05698405,0.05466757,-2.0486648,0.7138043,0.9119895,0.13893753,0.045614414,493.13126,445.8728,1,0,1,0
2806760714,-22.353375748365288,-48.616237011520504,502.0511,-0.0,-0.78665584,-1.1691871,0.027699687,0.027285015,-2.1374235,0.72182083,0.91195273,0.14832547,0.045612983,493.1328,445.61227,1,0,1,0
2806961222,-22.35337747785943,-48.616239499662164,502.0434,-0.0,-1.0340847,-1.3986536,0.013944185,0.01751865,-2.2118971,0.7218298,0.9119701,0.14899242,0.04564923,493.15225,446.2209,1,0,1,0
2807165220,-22.353379729123223,-48.616242496675596,502.04333,-0.0,-1.3014472,-1.6515826,-0.017908145,-0.015087817,-2.26847,0.71416914,0.91195345,0.1413971,0.04570233,493.16977,446.2209,1,0,1,0
2807366166,-22.353382412621258,-48.61624598151002,502.04974,-0.0,-1.5577176,-1.9291939,-0.046147466,-0.043876104,-2.3037372,0.72233444,0.91197085,0.15124217,0.045793876,493.1811,445.3517,1,0,1,0
2807574152,-22.353385620654652,-48.61625012704119,502.06067,-0.0,-1.8070018,-2.2204247,-0.077153645,-0.07422113,-2.3224266,0.71433765,0.91194123,0.14320228,0.045791414,493.18555,446.39526,1,0,1,0
2807774806,-22.353389123233512,-48.61625474099325,502.0753,-0.0,-2.0132775,-2.5274568,-0.10568062,-0.10055925,-2.3267524,0.71436024,0.91190666,0.14398763,0.045857705,493.21512,445.61227,1,0,1,0
2807978843,-22.3533930211282,-48.61626009522675,502.09875,-0.0,-2.1879113,-2.8486774,-0.13130842,-0.1273216,-2.321587,0.7147701,0.91194683,0.14516509,0.04597427,493.2352,445.96033,1,0,1,0
2808178955,-22.353397130057783,-48.616266015178155,502.1285,-0.0,-2.3268557,-3.1770678,-0.13546492,-0.13558212,-2.3102129,0.7148515,0.9119645,0.14580315,0.04604386,493.263,445.6991,1,0,1,0
2808383656,-22.353401573203296,-48.61627272272423,502.1648,-0.0,-2.4364433,-3.4475598,-0.15823908,-0.1634505,-2.297197,0.7149622,0.9119846,0.14625251,0.04611665,493.26498,446.3084,1,0,1,0
2808584779,-22.353406116214035,-48.61627973443995,502.21234,-0.0,-2.5294325,-3.6137283,-0.17955406,-0.19469103,-2.2875836,0.7150852,0.91194785,0.1464799,0.046101496,493.31378,446.39526,1,0,1,0
2808784502,-22.353410806049137,-48.61628693967465,502.2652,-0.0,-2.6231046,-3.6890547,-0.19884907,-0.22272465,-2.28054,0.71518135,0.9119694,0.14626434,0.046075962,493.35678,447.35074,1,0,1,0
2808992582,-22.35341586281397,-48.61629445306713,502.3305,-0.0,-2.7255003,-3.656849,-0.20563942,-0.24433503,-2.2753284,0.7155504,0.9119523,0.14617097,0.045991644,493.37842,447.2639,1,0,1,0
2809193258,-22.353420957133864,-48.616301555479566,502.39682,-0.0,-2.8334973,-3.5810072,-0.17483,-0.23150912,-2.2723327,0.7155921,0.9119712,0.1454086,0.04590953,493.37558,446.56833,1,0,1,0
2809393219,-22.35342625944704,-48.61630843753723,502.46185,-0.0,-2.937745,-3.4567454,-0.12438827,-0.20091327,-2.2705007,0.715769,0.9119398,0.14486414,0.0458254,493.39584,447.6982,1,0,1,0
2809598038,-22.353431873632996,-48.61631529316667,502.51794,-0.0,-3.034159,-3.3640344,-0.05797593,-0.15295951,-2.2678752,0.71606207,0.9119238,0.14429505,0.045741558,493.3857,448.39386,1,0,1,0
2809802558,-22.353437573844452,-48.616321925584934,502.5739,-0.0,-3.1016715,-3.3007095,-0.0526328,-0.17038809,-2.2644858,0.71604633,0.9118936,0.14360066,0.045695633,493.4926,447.17703,1,0,1,0
2810003080,-22.353443235396085,-48.616328403137054,502.641,-0.0,-3.112695,-3.2946703,-0.20895262,-0.33939448,-2.2606502,0.71630013,0.9119316,0.14353885,0.045679085,493.61243,446.82892,1,0,1,0
2810206862,-22.3534489713647,-48.616335052211575,502.72885,-0.0,-3.0918257,-3.3435287,-0.3433008,-0.4761314,-2.255486,0.7162246,0.91194046,0.14377303,0.04561003,493.9905,447.17703,1,0,1,0
2810407599,-22.353454558373762,-48.616341763195884,502.83194,-0.0,-3.0528517,-3.4461403,-0.43842316,-0.5676312,-2.2510014,0.71622914,0.9119061,0.14394902,0.045575704,495.9678,446.56833,1,0,1,0
2810607650,-22.353460026353016,-48.616348623816876,502.94626,-0.0,-3.0256994,-3.5289936,-0.51266956,-0.63387156,-2.2476902,0.71621746,0.91192895,0.14397353,0.045591574,496.00052,447.09015,1,0,1,0
2810812516,-22.353465625662636,-48.616355838536116,503.06985,-0.0,-3.0377235,-3.606784,-0.5660952,-0.6754895,-2.2457201,0.7166298,0.911914,0.14447692,0.045579582,495.8144,447.17703,1,0,1,0
2811016409,-22.353471257500637,-48.61636316131027,503.20047,-0.0,-3.074931,-3.6559632,-0.6238367,-0.7216664,-2.245142,0.7166052,0.9118837,0.14434469,0.045576405,495.34518,447.61136,1,0,1,0
2811217344,-22.353476865218934,-48.616370401050474,503.33548,-0.0,-3.1226416,-3.6924517,-0.6588549,-0.74400705,-2.24489,0.7165525,0.91190565,0.1441751,0.04558568,494.68466,448.21945,1,0,1,0
2811417261,-22.353482538560808,-48.616377610096286,503.46732,-0.0,-3.1723132,-3.6754441,-0.5164482,-0.5905573,-2.243626,0.71658087,0.91193,0.14410281,0.045607857,494.6767,447.43826,1,0,1,0
2811618203,-22.353488312239953,-48.61638484165886,503.53137,-0.0,-3.2153804,-3.6821408,-0.1792633,-0.23632258,-2.2450845,0.71652156,0.91189724,0.14312413,0.04557514,495.00967,448.0457,1,0,1,0
2811818061,-22.353494121083,-48.61639199469454,503.54337,-0.0,-3.272581,-3.6513202,0.09580401,0.043926556,-2.2468429,0.7164673,0.91197425,0.14178333,0.04561827,495.17123,447.87195,1,0,1,0
2812022023,-22.353500157715704,-48.616399249108746,503.518,-0.0,-3.3316855,-3.6493258,0.31189227,0.2547716,-2.2477827,0.7166688,0.9119043,0.14113893,0.045572035,495.28314,448.48138,1,0,1,0
2812226833,-22.353506314797905,-48.61640647399722,503.46008,-0.0,-3.3694053,-3.622543,0.4672358,0.4004024,-2.2457867,0.7169084,0.9119426,0.14082655,0.04558686,495.11642,447.95947,1,0,1,0
2812426857,-22.353512356533567,-48.61641348837864,503.38797,-0.0,-3.3798757,-3.5997431,0.57393485,0.48833594,-2.2410483,0.71667814,0.91189903,0.1403098,0.04551748,494.92947,448.56827,1,0,1,0
2812627752,-22.35351837836265,-48.61642049893995,503.30057,-0.0,-3.3546991,-3.6074529,0.657855,0.5532455,-2.2319424,0.7165816,0.9119728,0.14011385,0.045555357,495.1348,447.95947,1,0,1,0
2812831670,-22.353524431830195,-48.61642764463473,503.19357,-0.0,-3.305696,-3.6188507,0.7145744,0.5991333,-2.2206483,0.71652025,0.9119403,0.14013614,0.045549475,496.05933,447.95947,1,0,1,0
2813032508,-22.35353030885971,-48.616434757501615,503.06998,-0.0,-3.2704659,-3.677193,0.75273603,0.63759,-2.2115133,0.7163986,0.9119063,0.1401736,0.045528978,495.77994,447.6982,1,0,1,0
2813232699,-22.353536098467423,-48.61644196102616,502.9331,-0.0,-3.259628,-3.726774,0.7767767,0.66829395,-2.2017202,0.7164094,0.9119292,0.14038175,0.04555388,496.3031,447.43826,1,0,1,0
2813437233,-22.353541987073907,-48.61644940636621,502.78958,-0.0,-3.249075,-3.7585707,0.7671592,0.6660979,-2.1931345,0.71657866,0.9119131,0.1408685,0.045542963,496.83847,447.7851,1,0,1,0
2813637162,-22.353547772100825,-48.61645670878409,502.64914,-0.0,-3.276372,-3.770764,0.7631176,0.6699877,-2.1857104,0.7166226,0.9119351,0.14134412,0.045565512,496.82562,447.09015,1,0,1,0
2813838021,-22.353553680372972,-48.61646407726704,502.51083,-0.0,-3.3041968,-3.7645326,0.735182,0.6492646,-2.179144,0.7166473,0.9120062,0.14183041,0.045592148,495.72284,447.00262,1,0,1,0
2814042058,-22.353559741848308,-48.61647155143138,502.36987,-0.0,-3.3365207,-3.767932,0.70443684,0.6294656,-2.1723676,0.7168274,0.9119737,0.14239462,0.045516554,496.4594,447.6982,1,0,1,0
2814246059,-22.353565820656584,-48.616479035018266,502.2328,-0.0,-3.3431525,-3.773814,0.6937685,0.6273626,-2.1641915,0.7168512,0.9119893,0.14285278,0.045525685,496.7653,446.3084,1,0,1,0
2814446825,-22.353571770018128,-48.61648643481044,502.11365,-0.0,-3.3103466,-3.7903736,0.66017044,0.59174997,-2.1584587,0.7169147,0.91200554,0.14329171,0.045548458,497.17517,446.65518,1,0,1,0
2814646800,-22.35357758458092,-48.61649383753323,501.99594,-0.0,-3.2144425,-3.760624,0.637261,0.57168895,-2.1535788,0.71699685,0.9119661,0.14377767,0.045527574,497.48166,446.65518,1,0,1,0
2814851713,-22.35358327148052,-48.61650130350121,501.8886,-0.0,-3.034731,-3.6499465,0.61307615,0.5421764,-2.1480906,0.7174032,0.9119476,0.14462397,0.04552139,496.52795,447.17703,1,0,1,0
2815052590,-22.35358843190671,-48.61650824125188,501.79736,-0.0,-2.7797768,-3.3894446,0.5966981,0.51242673,-2.144668,0.7175203,0.9119683,0.14543833,0.04555512,496.78592,445.8728,1,0,1,0
2815252594,-22.35359304505319,-48.616514487943085,501.70245,-0.0,-2.4618244,-3.0257483,0.590872,0.5013171,-2.1421995,0.71760195,0.91198856,0.14628597,0.045610845,496.91223,445.6991,1,0,1,0
2815456506,-22.353597128099068,-48.61652001000483,501.59598,-0.0,-2.1235902,-2.5873768,0.62450397,0.5368601,-2.1413803,0.7176587,0.9120042,0.14741315,0.045687634,497.0629,444.83063,1,0,1,0
